# Name                                                nbVertices    nbEdges    binDensity    rank    srank    nrank    elbow    energy    thrank    shrank    erank
7th_graders                                                   29        740   0.447087         29      1.7      4.6        4        10         2         3     18.8
AT_2008                                                     2271       4648   0.000901619     842     51.6    170        376       410        82       108    687.5
CY_2015                                                      335        616   0.00550541      108     14.6     33.3      108        54         6         8     90.1
EE_2010                                                     1260       2604   0.00164151      312      6.1     29.9       60       114        20        34    227.5
PT_2009                                                     1257       2418   0.00153155      560     19       84.4      128       309        16        36    471.7
SI_2016                                                     1792       7104   0.00221345      790     11.2     65.8      136       281        80       108    566.3
adjnoun                                                      112        425   0.0683719       109      4.9     17         10        42        10        15     75.2
advogato                                                    6541      51127   0.00119517     5550     15.7    169.8      302       993       905      1053   3180.3
ambassador_1985_1989                                          16         19   0.158333         11      1.9      3.6        1         5         1         1      8.4
ambassador_1990_1994                                          16         36   0.3              14      2.1      4.1        3         6         2         2     10.6
ambassador_1995_1999                                          16         49   0.408333         15      1.6      3.4        1         5         3         3     10.1
ambassador_2000                                               16         69   0.575            15      1.4      3.1        1         5         1         1      9.9
ambassador_2001                                               16         69   0.575            15      1.4      3.1        1         5         1         1      9.9
ambassador_2002                                               16         50   0.416667         14      1.4      2.9        1         5         1         2      9
ambassador_OPERATION_ID                                       16         69   0.575            15      1.4      3.1        1         5         1         1      9.9
ambassador_TIE_EXTINGUISH                                     16         69   0.575            15      1.4      3.1        1         5         1         1      9.9
ambassador_TIE_YEAR                                           16         69   0.575            15      1.4      3.1        1         5         1         1      9.9
anybeat                                                    12645      67053   0.000419354    4152      9.4    111.1      184       788       583       711   2487.6
arxiv_collab_astro-ph-1999                                 16706     121251   0.000868953   15668     73.4    558.9     1120      2315      3643      4097   7040.2
arxiv_collab_cond-mat-1999                                 16726      47594   0.00034027    15523    156.7    872.5     1537      2649      3370      3791   7801.7
arxiv_collab_hep-th-1999                                    8361      15751   0.000450686    7101     44.7    340.9      485      1539      1507      1722   3926.6
baseball_player-player                                        72       1089   0.414384         72      1.1      3.2        4         2         7         8     28.3
baseball_user-provider                                        84         84   0.0240964        24      3.8      7.7        8        12         2         2     19.3
bible_nouns                                                 1773       9131   0.00581267     1757      2.7     23         59        68       351       404    636
bison                                                         26        314   0.464497         26      1.8      4.3        5         7         4         4     15.3
bitcoin_alpha                                               3783      24186   0.00169002     1982     13.5    107.2      152       538       304       374   1278.2
bitcoin_trust                                               5881      35592   0.00102908     2785     15.8    134.9      197       721       411       504   1778.2
blumenau_drug                                                 75        181   0.0652252        56      5.9     12.7       17        17        13        15     34.6
board_directors_net1m_2002-05-01                            1013       3189   0.00622149     1012     10.1     69.7       84       374       144       155    733.6
board_directors_net1m_2002-12-01                            1076       3344   0.00578197     1076     23.1    110.3      185       406       150       163    781.3
board_directors_net1m_2003-01-01                            1098       3488   0.00579159     1098     21.3    105.9      187       400       153       164    792.8
board_directors_net1m_2003-12-01                            1142       3599   0.00552408     1142     22.1    109.8      190       418       156       172    826.5
board_directors_net1m_2004-01-01                            1145       3604   0.00550279     1145     22.1    110.2      191       419       157       173    829.4
