# Name                                                Directed    Weighted    Bipartite    Selfloops    Multiedges    nbVertices    nbEdges    binDensity    matDensity    averageDegree                                                      Tags                                                                                          url    rank    thrank    shrank    erank    elbow    energy    srank    nrank                                                                                                                   Name\href
7th_graders                                           directed  unweighted   unipartite  noselfloops    multiedges            29        740   0.463054      0.447087                25.5                                 Social,Offline,Multilayer                                                        https://manliodedomenico.com/data.php      29         2         3     18.8        4        10      1.7      4.6                                                                   \href{https://manliodedomenico.com/data.php}{7th_graders}
AT_2008                                             undirected  unweighted          nan  noselfloops  nomultiedges          2271       4648   0.000901619   0.000901222              4.1                                                  Economic                                                   https://doi.org/10.1007/s41060-019-00204-1     842        82       108    687.5      376       410     51.6    170                                                                    \href{https://doi.org/10.1007/s41060-019-00204-1}{AT_2008}
CY_2015                                             undirected  unweighted          nan  noselfloops  nomultiedges           335        616   0.00550541    0.00548897               3.7                                                  Economic                                                   https://doi.org/10.1007/s41060-019-00204-1     108         6         8     90.1      108        54     14.6     33.3                                                                  \href{https://doi.org/10.1007/s41060-019-00204-1}{CY_2015}
EE_2010                                             undirected  unweighted          nan  noselfloops  nomultiedges          1260       2604   0.00164151    0.00164021               4.1                                                  Economic                                                   https://doi.org/10.1007/s41060-019-00204-1     312        20        34    227.5       60       114      6.1     29.9                                                                  \href{https://doi.org/10.1007/s41060-019-00204-1}{EE_2010}
PT_2009                                             undirected  unweighted          nan  noselfloops  nomultiedges          1257       2418   0.00153155    0.00153033               3.8                                                  Economic                                                   https://doi.org/10.1007/s41060-019-00204-1     560        16        36    471.7      128       309     19       84.4                                                                  \href{https://doi.org/10.1007/s41060-019-00204-1}{PT_2009}
SI_2016                                             undirected  unweighted          nan  noselfloops  nomultiedges          1792       7104   0.00221345    0.00221221               7.9                                                  Economic                                                   https://doi.org/10.1007/s41060-019-00204-1     790        80       108    566.3      136       281     11.2     65.8                                                                  \href{https://doi.org/10.1007/s41060-019-00204-1}{SI_2016}
adjnoun                                             undirected  unweighted   unipartite  noselfloops  nomultiedges           112        425   0.0683719     0.0677615                7.6                                    Informational,Language                                      http://www-personal.umich.edu/~mejn/netdata/adjnoun.zip     109        10        15     75.2       10        42      4.9     17                                                       \href{http://www-personal.umich.edu/~mejn/netdata/adjnoun.zip}{adjnoun}
advogato                                              directed    weighted   unipartite    selfloops  nomultiedges          6541      51127   0.00119498    0.00119498               7.8                                             Social,Online                                                           http://konect.cc/networks/advogato    5550       905      1053   3180.3      302       993     15.7    169.8                                                                         \href{http://konect.cc/networks/advogato}{advogato}
ambassador_1985_1989                                undirected    weighted   unipartite  noselfloops  nomultiedges            16         19   0.158333      0.148438                 2.4                                   Social,Offline,Temporal     https://sites.google.com/site/ucinetsoftware/datasets/covert-networks/philippinesbombing      11         1         1      8.4        1         5      1.9      3.6       \href{https://sites.google.com/site/ucinetsoftware/datasets/covert-networks/philippinesbombing}{ambassador_1985_1989}
ambassador_1990_1994                                undirected    weighted   unipartite  noselfloops  nomultiedges            16         36   0.3           0.28125                  4.5                                   Social,Offline,Temporal     https://sites.google.com/site/ucinetsoftware/datasets/covert-networks/philippinesbombing      14         2         2     10.6        3         6      2.1      4.1       \href{https://sites.google.com/site/ucinetsoftware/datasets/covert-networks/philippinesbombing}{ambassador_1990_1994}
