# source, target
0,277
0,277
0,277
0,21
0,277
0,21
0,277
0,241
0,277
0,241
0,277
0,241
0,277
0,241
0,277
0,241
0,277
0,241
0,277
0,241
0,277
0,241
0,277
0,277
0,277
0,242
0,264
0,219
0,76
0,264
0,98
0,43
0,21
0,180
0,77
0,180
0,77
0,214
0,292
0,180
0,180
0,180
0,43
0,180
0,72
0,180
0,72
0,72
0,180
0,72
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,72
0,72
0,180
0,180
0,72
0,180
0,72
0,72
0,43
0,180
0,72
0,180
0,72
0,180
0,72
0,72
0,72
0,72
0,132
0,72
0,72
0,180
0,180
0,180
0,72
0,180
0,72
0,43
0,180
0,180
0,180
0,72
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,43
0,72
0,98
0,72
0,72
0,98
0,180
0,98
0,180
0,43
0,43
0,43
0,43
0,180
0,43
0,180
0,72
0,43
0,180
0,60
0,43
0,60
0,277
0,268
0,261
0,43
0,43
0,43
0,180
0,43
0,43
0,72
0,72
0,72
0,72
0,72
0,72
0,43
0,72
0,72
0,72
0,72
0,180
0,39
0,39
0,180
0,180
0,72
0,72
0,72
0,72
0,180
0,180
0,180
0,180
0,180
0,77
0,39
0,180
0,77
0,25
0,77
0,98
0,261
0,277
0,277
0,77
0,77
0,77
0,77
0,180
0,77
0,77
0,77
0,77
0,77
0,77
0,180
0,77
0,180
0,77
0,180
0,77
0,21
0,77
0,77
0,180
0,21
0,77
0,180
0,21
0,77
0,180
0,21
0,77
0,180
0,21
0,77
0,180
0,77
0,77
0,77
0,77
0,77
0,77
0,77
0,77
0,77
0,77
0,77
0,77
0,77
0,77
0,77
0,77
0,77
0,77
0,39
0,132
0,37
0,25
0,241
0,277
0,180
0,241
0,277
0,277
0,277
0,277
0,180
0,277
0,277
0,77
0,73
0,277
0,77
0,277
0,277
0,77
0,277
0,180
0,277
0,180
0,60
0,277
0,180
0,180
0,277
0,60
0,277
0,180
0,277
0,180
0,277
0,180
0,277
0,180
0,180
0,277
0,277
0,180
0,277
0,180
0,277
0,180
0,180
0,277
0,180
0,277
0,180
0,268
0,180
0,180
0,180
0,277
0,277
0,277
0,180
0,180
0,277
0,180
0,180
0,180
0,180
0,277
0,180
0,180
0,180
0,180
0,277
0,180
0,180
0,277
0,180
0,277
0,180
0,277
0,180
0,277
0,180
0,180
0,277
0,180
0,277
0,180
0,180
0,277
0,180
0,180
0,180
0,180
0,180
0,180
0,180
