# name                                                 (un)dir    (un)weighted    uni/bi-partite    selfloops    multiedges    nbVertices    nbEdges        density    bindensity    averageDegree                                                      tags             weightTag                                                                                          url
7th_graders                                           directed      unweighted        unipartite  noselfloops    multiedges            29        740    0.91133       0.447087           25.5172                                   Social,Offline,Multilayer                  None                                                        https://manliodedomenico.com/data.php
adjnoun                                             undirected      unweighted        unipartite  noselfloops  nomultiedges           112        425    0.0683719     0.0683719           7.58929                                     Informational,Language                  None                                      http://www-personal.umich.edu/~mejn/netdata/adjnoun.zip
advogato                                              directed        weighted        unipartite    selfloops  nomultiedges          6541      51127    0.00119517    0.00119517          7.81639                                              Social,Online                weight                                                           http://konect.cc/networks/advogato
ambassador_1985_1989                                undirected        weighted        unipartite  noselfloops  nomultiedges            16         19    0.158333      0.158333            2.375                                      Social,Offline,Temporal                  None     https://sites.google.com/site/ucinetsoftware/datasets/covert-networks/philippinesbombing
ambassador_1990_1994                                undirected        weighted        unipartite  noselfloops  nomultiedges            16         36    0.3           0.3                 4.5                                        Social,Offline,Temporal                  None     https://sites.google.com/site/ucinetsoftware/datasets/covert-networks/philippinesbombing
ambassador_1995_1999                                undirected        weighted        unipartite  noselfloops  nomultiedges            16         49    0.408333      0.408333            6.125                                      Social,Offline,Temporal                  None     https://sites.google.com/site/ucinetsoftware/datasets/covert-networks/philippinesbombing
ambassador_2000                                     undirected        weighted        unipartite  noselfloops  nomultiedges            16         69    0.575         0.575               8.625                                      Social,Offline,Temporal                  None     https://sites.google.com/site/ucinetsoftware/datasets/covert-networks/philippinesbombing
ambassador_2001                                     undirected        weighted        unipartite  noselfloops  nomultiedges            16         69    0.575         0.575               8.625                                      Social,Offline,Temporal                  None     https://sites.google.com/site/ucinetsoftware/datasets/covert-networks/philippinesbombing
ambassador_2002                                     undirected        weighted        unipartite  noselfloops  nomultiedges            16         50    0.416667      0.416667            6.25                                       Social,Offline,Temporal                  None     https://sites.google.com/site/ucinetsoftware/datasets/covert-networks/philippinesbombing
ambassador_OPERATION_ID                             undirected        weighted        unipartite  noselfloops  nomultiedges            16         69    0.575         0.575               8.625                                      Social,Offline,Temporal                  None     https://sites.google.com/site/ucinetsoftware/datasets/covert-networks/philippinesbombing
ambassador_TIE_EXTINGUISH                           undirected        weighted        unipartite  noselfloops  nomultiedges            16         69    0.575         0.575               8.625                                      Social,Offline,Temporal                  None     https://sites.google.com/site/ucinetsoftware/datasets/covert-networks/philippinesbombing
ambassador_TIE_YEAR                                 undirected        weighted        unipartite  noselfloops  nomultiedges            16         69    0.575         0.575               8.625                                      Social,Offline,Temporal                  None     https://sites.google.com/site/ucinetsoftware/datasets/covert-networks/philippinesbombing
anybeat                                               directed      unweighted        unipartite  noselfloops  nomultiedges         12645      67053    0.000419387   0.000419354         5.30273                                              Social,Online                  None                                              https://homes.cs.washington.edu/~fire/#section3
arxiv_collab_astro-ph-1999                          undirected        weighted        unipartite  noselfloops  nomultiedges         16706     121251    0.000868953   0.000868953        14.5159                             Social,Collaboration,Projection                 value                                                 http://www-personal.umich.edu/~mejn/netdata/
arxiv_collab_cond-mat-1999                          undirected        weighted        unipartite  noselfloops  nomultiedges         16726      47594    0.00034027    0.00034027          5.69102                            Social,Collaboration,Projection                 value                                                 http://www-personal.umich.edu/~mejn/netdata/
arxiv_collab_hep-th-1999                            undirected        weighted        unipartite  noselfloops  nomultiedges          8361      15751    0.000450686   0.000450686         3.76773                            Social,Collaboration,Projection                 value                                                 http://www-personal.umich.edu/~mejn/netdata/
baseball_player-player                              undirected        weighted        unipartite    selfloops  nomultiedges            72       1089    0.426056      0.414384           30.25                                     Social,Offline,Projection                  None                                                              http://orgnet.com/steroids.html
baseball_user-provider                              undirected        weighted         bipartite  noselfloops  nomultiedges            84         84    0.0240964     0.0240964           2                                        Social,Offline,Projection                  None                                                              http://orgnet.com/steroids.html
bible_nouns                                         undirected        weighted        unipartite  noselfloops  nomultiedges          1773       9131    0.00581267    0.00581267         10.3001                                      Informational,Language                weight                                                       http://konect.cc/networks/moreno_names
bison                                                 directed        weighted        unipartite  noselfloops  nomultiedges            26        314    0.483077      0.464497           12.0769                                               Social,Animal                weight                                                       http://konect.cc/networks/moreno_bison
bitcoin_alpha                                         directed        weighted        unipartite  noselfloops  nomultiedges          3783      24186    0.00169046    0.00169002          6.39334                            Social,Online,Signed,Timestamps                  None                                     http://snap.stanford.edu/data/soc-sign-bitcoinalpha.html
bitcoin_trust                                         directed        weighted        unipartite  noselfloops  nomultiedges          5881      35592    0.00102926    0.00102908          6.05203                            Social,Online,Signed,Timestamps                  None                                       http://snap.stanford.edu/data/soc-sign-bitcoinotc.html
blumenau_drug                                       undirected        weighted        unipartite  noselfloops  nomultiedges            75        181    0.0652252     0.0652252           4.82667                                Biological,Druginteractions                weight                                        https://github.com/rionbr/DDIBlumenau/tree/master/csv
board_directors_net1m_2002-05-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1013       3189    0.00622149    0.00622149          6.29615                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2002-06-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1021       3235    0.00621267    0.00621267          6.33692                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2002-07-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1030       3255    0.00614226    0.00614226          6.32039                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2002-08-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1029       3232    0.00611073    0.00611073          6.28183                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2002-09-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1035       3303    0.00617274    0.00617274          6.38261                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2002-10-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1051       3325    0.00602601    0.00602601          6.32731                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
