# name                                                 (un)dir    (un)weighted    uni/bi-partite    selfloops    multiedges    nbVertices           nbEdges        density    bindensity    matdensity    averageDegree                                                      tags             weightTag                                                                                          url
7th_graders                                           directed      unweighted        unipartite  noselfloops    multiedges            29     740              0.91133       0.463054      0.447087           25.5172                                   Social,Offline,Multilayer                  None                                                        https://manliodedomenico.com/data.php
AT_2008                                             undirected      unweighted               N/A  noselfloops  nomultiedges          2271    4648              0.00180324    0.000901619   0.000901222         4.09335                                                   Economic                   N/A                                                   https://doi.org/10.1007/s41060-019-00204-1
CY_2015                                             undirected      unweighted               N/A  noselfloops  nomultiedges           335     616              0.0110108     0.00550541    0.00548897          3.67761                                                   Economic                   N/A                                                   https://doi.org/10.1007/s41060-019-00204-1
EE_2010                                             undirected      unweighted               N/A  noselfloops  nomultiedges          1260    2604              0.00328303    0.00164151    0.00164021          4.13333                                                   Economic                   N/A                                                   https://doi.org/10.1007/s41060-019-00204-1
PT_2009                                             undirected      unweighted               N/A  noselfloops  nomultiedges          1257    2418              0.0030631     0.00153155    0.00153033          3.84726                                                   Economic                   N/A                                                   https://doi.org/10.1007/s41060-019-00204-1
SI_2016                                             undirected      unweighted               N/A  noselfloops  nomultiedges          1792    7104              0.0044269     0.00221345    0.00221221          7.92857                                                   Economic                   N/A                                                   https://doi.org/10.1007/s41060-019-00204-1
adjnoun                                             undirected      unweighted        unipartite  noselfloops  nomultiedges           112     425              0.0683719     0.0683719     0.0677615           7.58929                                     Informational,Language                  None                                      http://www-personal.umich.edu/~mejn/netdata/adjnoun.zip
advogato                                              directed        weighted        unipartite    selfloops  nomultiedges          6541   51127              0.00119517    0.00119498    0.00119498          7.81639                                              Social,Online                weight                                                           http://konect.cc/networks/advogato
ambassador_1985_1989                                undirected        weighted        unipartite  noselfloops  nomultiedges            16      19              0.158333      0.158333      0.148438            2.375                                      Social,Offline,Temporal                  None     https://sites.google.com/site/ucinetsoftware/datasets/covert-networks/philippinesbombing
ambassador_1990_1994                                undirected        weighted        unipartite  noselfloops  nomultiedges            16      36              0.3           0.3           0.28125             4.5                                        Social,Offline,Temporal                  None     https://sites.google.com/site/ucinetsoftware/datasets/covert-networks/philippinesbombing
ambassador_1995_1999                                undirected        weighted        unipartite  noselfloops  nomultiedges            16      49              0.408333      0.408333      0.382812            6.125                                      Social,Offline,Temporal                  None     https://sites.google.com/site/ucinetsoftware/datasets/covert-networks/philippinesbombing
ambassador_2000                                     undirected        weighted        unipartite  noselfloops  nomultiedges            16      69              0.575         0.575         0.539062            8.625                                      Social,Offline,Temporal                  None     https://sites.google.com/site/ucinetsoftware/datasets/covert-networks/philippinesbombing
ambassador_2001                                     undirected        weighted        unipartite  noselfloops  nomultiedges            16      69              0.575         0.575         0.539062            8.625                                      Social,Offline,Temporal                  None     https://sites.google.com/site/ucinetsoftware/datasets/covert-networks/philippinesbombing
ambassador_2002                                     undirected        weighted        unipartite  noselfloops  nomultiedges            16      50              0.416667      0.416667      0.390625            6.25                                       Social,Offline,Temporal                  None     https://sites.google.com/site/ucinetsoftware/datasets/covert-networks/philippinesbombing
ambassador_OPERATION_ID                             undirected        weighted        unipartite  noselfloops  nomultiedges            16      69              0.575         0.575         0.539062            8.625                                      Social,Offline,Temporal                  None     https://sites.google.com/site/ucinetsoftware/datasets/covert-networks/philippinesbombing
ambassador_TIE_EXTINGUISH                           undirected        weighted        unipartite  noselfloops  nomultiedges            16      69              0.575         0.575         0.539062            8.625                                      Social,Offline,Temporal                  None     https://sites.google.com/site/ucinetsoftware/datasets/covert-networks/philippinesbombing
ambassador_TIE_YEAR                                 undirected        weighted        unipartite  noselfloops  nomultiedges            16      69              0.575         0.575         0.539062            8.625                                      Social,Offline,Temporal                  None     https://sites.google.com/site/ucinetsoftware/datasets/covert-networks/philippinesbombing
anybeat                                               directed      unweighted        unipartite  noselfloops  nomultiedges         12645   67053              0.000419387   0.000419387   0.000419354         5.30273                                              Social,Online                  None                                                       https://homes.cs.washington.edu/~fire/
arxiv_collab_astro-ph-1999                          undirected        weighted        unipartite  noselfloops  nomultiedges         16706  121251              0.000868953   0.000868953   0.000868901        14.5159                             Social,Collaboration,Projection                 value                                                 http://www-personal.umich.edu/~mejn/netdata/
arxiv_collab_cond-mat-1999                          undirected        weighted        unipartite  noselfloops  nomultiedges         16726   47594              0.00034027    0.00034027    0.00034025          5.69102                            Social,Collaboration,Projection                 value                                                 http://www-personal.umich.edu/~mejn/netdata/
arxiv_collab_hep-th-1999                            undirected        weighted        unipartite  noselfloops  nomultiedges          8361   15751              0.000450686   0.000450686   0.000450632         3.76773                            Social,Collaboration,Projection                 value                                                 http://www-personal.umich.edu/~mejn/netdata/
baseball_player-player                              undirected        weighted        unipartite    selfloops  nomultiedges            72    1089              0.426056      0.414384      0.40625            30.25                                     Social,Offline,Projection                  None                                                              http://orgnet.com/steroids.html
baseball_user-provider                              undirected        weighted         bipartite  noselfloops  nomultiedges            84      84              0.0240964     0.0240964     0.0238095           2                                        Social,Offline,Projection                  None                                                              http://orgnet.com/steroids.html
bible_nouns                                         undirected        weighted        unipartite  noselfloops  nomultiedges          1773    9131              0.00581267    0.00581267    0.00580939         10.3001                                      Informational,Language                weight                                                       http://konect.cc/networks/moreno_names
