# Name                                                Size    Rank    OptimalThreshold    OptimalShrinkage        Erank    Elbow    EnergyRatio    StableRank    NuclearRank
7th_graders                                             29      29                   2                   3     18.7859         4             10       1.73418        4.64561
AT_2008                                               2271     842                  82                 108    687.454        376            410      51.6231       169.992
CY_2015                                                335     108                   6                   8     90.1023       108             54      14.649         33.2829
EE_2010                                               1260     312                  20                  34    227.503         60            114       6.12699       29.8998
PT_2009                                               1257     560                  16                  36    471.713        128            309      18.9757        84.3679
SI_2016                                               1792     790                  80                 108    566.343        136            281      11.1584        65.7963
adjnoun                                                112     109                  10                  15     75.16          10             42       4.91538       16.9629
advogato                                              6541    5550                 905                1053   3180.3          302            993      15.6771       169.825
ambassador_1985_1989                                    16      11                   1                   1      8.35204        1              5       1.9251         3.62263
ambassador_1990_1994                                    16      14                   2                   2     10.5732         3              6       2.08127        4.14946
ambassador_1995_1999                                    16      15                   3                   3     10.1392         1              5       1.59999        3.41393
ambassador_2000                                         16      15                   1                   1      9.92786        1              5       1.41759        3.09366
ambassador_2001                                         16      15                   1                   1      9.92786        1              5       1.41759        3.09366
ambassador_2002                                         16      14                   1                   2      8.98884        1              5       1.3851         2.90778
ambassador_OPERATION_ID                                 16      15                   1                   1      9.92786        1              5       1.41759        3.09366
ambassador_TIE_EXTINGUISH                               16      15                   1                   1      9.92786        1              5       1.41759        3.09366
ambassador_TIE_YEAR                                     16      15                   1                   1      9.92786        1              5       1.41759        3.09366
anybeat                                              12645    4152                 583                 711   2487.63         184            788       9.38345      111.141
arxiv_collab_astro-ph-1999                           16706   15668                3643                4097   7040.15        1120           2315      73.4141       558.923
arxiv_collab_cond-mat-1999                           16726   15523                3370                3791   7801.72        1537           2649     156.704        872.545
arxiv_collab_hep-th-1999                              8361    7101                1507                1722   3926.57         485           1539      44.6748       340.899
baseball_player-player                                  72      72                   7                   8     28.2523         4              2       1.14664        3.22058
baseball_user-provider                                  84      24                   2                   2     19.2636         8             12       3.81612        7.70477
bible_nouns                                           1773    1757                 351                 404    636.009         59             68       2.68157       22.9928
bison                                                   26      26                   4                   4     15.2558         5              7       1.78938        4.33251
bitcoin_alpha                                         3783    1982                 304                 374   1278.2          152            538      13.4795       107.212
bitcoin_trust                                         5881    2785                 411                 504   1778.18         197            721      15.7998       134.874
blumenau_drug                                           75      56                  13                  15     34.5698        17             17       5.92146       12.7384
board_directors_net1m_2002-05-01                      1013    1012                 144                 155    733.65          84            374      10.0837        69.7441
board_directors_net1m_2002-12-01                      1076    1076                 150                 163    781.276        185            406      23.1102       110.324
board_directors_net1m_2003-01-01                      1098    1098                 153                 164    792.807        187            400      21.3357       105.922
board_directors_net1m_2003-12-01                      1142    1142                 156                 172    826.546        190            418      22.0685       109.761
board_directors_net1m_2004-01-01                      1145    1145                 157                 173    829.383        191            419      22.0992       110.154
board_directors_net1m_2004-12-01                      1194    1194                 164                 182    866.48         144            434      22.8959       114.891
board_directors_net1m_2005-01-01                      1198    1198                 167                 185    870.086        144            434      23.0599       115.67
board_directors_net1m_2005-12-01                      1310    1310                 184                 202    972.405        226            544      23.3273       125.568
board_directors_net1m_2006-01-01                      1316    1316                 186                 202    977.337        227            547      23.364        126.032
board_directors_net1m_2006-12-01                      1471    1469                 219                 248   1094.66         273            608      40.8467       177.456
board_directors_net1m_2007-01-01                      1499    1497                 226                 253   1114.45         281            619      41.6307       180.662
board_directors_net1m_2007-12-01                      1521    1517                 230                 260   1143.44         202            630      37.9908       176.437
board_directors_net1m_2008-01-01                      1518    1513                 231                 264   1145.49         309            638      43.7026       190.341
board_directors_net1m_2008-12-01                      1519    1515                 238                 268   1159.94         316            673      68.1279       242.181
board_directors_net1m_2009-01-01                      1526    1523                 235                 265   1166.31         313            680      68.1691       242.833
board_directors_net1m_2009-12-01                      1483    1480                 220                 249   1131.75         252            656      34.8656       169.886
board_directors_net1m_2010-01-01                      1473    1470                 220                 249   1123.66         254            649      34.5828       168.598
board_directors_net1m_2010-12-01                      1444    1442                 223                 248   1106.35         288            649      59.8816       221.577
board_directors_net1m_2011-01-01                      1442    1440                 224                 249   1103.31         289            642      60.2676       221.673
budapest_connectome_all_1m                            1015    1015                 191                 232    422.526         28             73       3.05753       21.1267
budapest_connectome_all_200k                          1015    1015                 170                 214    493.68          36            140       3.59112       27.1193
budapest_connectome_all_20k                           1015    1015                 139                 185    577.618         40            225       5.3083        40.0163
budapest_connectome_female_1m                         1015    1015                 190                 231    430.839         31             83       3.10858       21.7944
budapest_connectome_female_200k                       1015    1015                 168                 210    494.096         34            142       3.66264       27.6947
budapest_connectome_female_20k                        1015    1015                 148                 193    574.548         46            225       5.58497       41.4353
budapest_connectome_male_1m                           1015    1015                 215                 250    395.482         26             66       3.13697       20.6535
budapest_connectome_male_200k                         1015    1015                 201                 240    461.418         29            119       3.63731       26.243
budapest_connectome_male_20k                          1015    1015                 139                 186    566.636         45            215       5.7099        41.0446
caida_as_20040105                                    16301    4679                 521                 671   3096.83         208           1169      16.8411       169.176
caida_as_20040202                                    16493    4669                 521                 665   3094.61         197           1180      16.9702       170.09
caida_as_20040301                                    16655    4771                 543                 676   3173.55         223           1216      17.1335       173.443
caida_as_20040405                                    16874    4829                 556                 690   3204.56         207           1220      16.9517       173.136
caida_as_20040503                                    17160    4904                 569                 721   3256.14         244           1240      17.3209       177
caida_as_20040607                                    17306    4924                 580                 717   3255.39         268           1230      17.396        177.071
caida_as_20040705                                    17509    4991                 584                 736   3303.19         250           1248      17.6816       179.947
caida_as_20040802                                    17655    5056                 592                 737   3348.71         257           1271      18.0571       183.412
caida_as_20040906                                    17848    5084                 594                 747   3352.29         256           1255      17.576        180.347
caida_as_20041004                                    18100    5213                 594                 752   3434.22         241           1282      17.7293       182.721
caida_as_20041101                                    18278    5190                 596                 761   3436.56         228           1302      17.7706       183.412
caida_as_20041206                                    18501    5234                 608                 772   3447.2          239           1287      18.0078       184.736
caida_as_20050103                                    18740    5312                 620                 787   3519.37         263           1329      18.397        189.213
caida_as_20050207                                    18911    5323                 619                 785   3539.07         242           1351      18.6023       191.162
caida_as_20050307                                    19090    5334                 623                 784   3547.08         272           1349      18.3755       189.967
caida_as_20050404                                    19267    5415                 638                 799   3589.61         224           1356      18.593        191.994
caida_as_20050502                                    19489    5516                 649                 818   3652.63         277           1376      18.458        192.775
caida_as_20050606                                    19720    5542                 632                 800   3668.46         278           1387      18.5332       193.587
caida_as_20050704                                    19846    5538                 638                 802   3663.33         262           1382      18.4328       192.728
caida_as_20070917                                     8020    2595                 255                 323   1605.85         129            494      11.4281        95.942
cattle                                                  28      25                   5                   6     14.2878         6              7       2.17374        4.77928
celegans_2019_hermaphrodite_chemical                   453     300                  56                  69    173.135         47             69      10.6059        35.1171
celegans_2019_hermaphrodite_chemical_corrected         454     300                  56                  69    173.135         47             69      10.6059        35.1171
celegans_2019_hermaphrodite_chemical_synapse           468     271                  52                  61    158.699         33             71       9.83583       33.1382
celegans_2019_hermaphrodite_gap_junction               468     460                 100                 117    119.44          19              4       2.88833        9.68135
celegans_2019_hermaphrodite_gap_junction_corrected     469     460                  98                 116    106.63          19              4       2.67782        8.71039
celegans_2019_hermaphrodite_gap_junction_synapse       466     303                  51                  61    159.248         28             58       5.93861       23.8082
celegans_2019_male_chemical                            575     375                  83                  95    197.299         48             77       9.87812       35.707
celegans_2019_male_chemical_corrected                  575     375                  83                  95    197.299         48             77       9.87812       35.707
celegans_2019_male_chemical_synapse                    514     296                  68                  80    149.056         41             61       8.90755       30.0497
celegans_2019_male_gap_junction                        585     536                 120                 146    173.35          12             21       3.06596       13.7318
celegans_2019_male_gap_junction_corrected              586     537                 122                 148    173.282         12             21       3.06602       13.73
celegans_2019_male_gap_junction_synapse                514     298                  69                  78    120.363         33             35       5.16177       18.9096
celegans_interactomes_BPmaps                           537     318                   9                  19    273.602         59            180      34.1964        89.9767
celegans_interactomes_Genetic                          759     619                  55                  78    459.153         79            253      21.0079        86.1382
celegans_interactomes_IntegratedNetwork               6176    5102                1038                1205   2415.52         108            547       2.72764       49.4138
celegans_interactomes_Interolog                       2724    2052                 243                 314   1263.96          67            439       5.72816       59.4328
celegans_interactomes_LCI                              431     244                  16                  20    199.039         20            124       8.18338       35.7755
celegans_interactomes_Microarray                      2436    2180                 482                 565   1021.32          52            256       2.1199        27.6979
celegans_interactomes_Phenotypes                       912     912                 197                 229    474.842         46            147       5.03064       35.7957
celegans_interactomes_WI8                             2528    1523                 113                 156   1184.86         146            675      40.567        193.066
celegans_interactomes_wi2004                          1237     702                  44                  61    556.988         80            330      24.939        104.51
celegans_interactomes_wi2007                          1496     906                  62                  85    732.263        108            450      35.4533       143.433
celegans_metabolic                                     453     450                  54                  66    161.801         25             15       2.9761        13.2019
celegans_signed                                        297     292                  70                  80    149.112         39             63       8.67117       29.6493
celegansneural                                         297     248                  67                  74    103.349         16             35       3.06632       13.176
ceo_club                                                40      30                   2                   2     25.4569         4             18       4.54515        9.81327
chess                                                 7301    6383                1021                1261   3900.25         334           1752      23.6192       252.041
chicago_road                                         12982   12666                   9                 332  10134           2258           6277    2183.52        4427.06
cintestinalis                                          222     204                  19                  28    136.784         17             71       5.1072        22.3316
college_freshmen                                        32      31                   2                   3     22.9283         5             15       3.3042         7.71741
collins_yeast                                         1622    1558                 231                 284    956.288         54            296       5.05157       49.0442
contact                                                274      82                  23                  26     32.2162         1             13       1.34141        4.54653
contiguous_usa                                          49      49                   2                   3     39.2698         9             26       7.56531       16.0406
copenhagen_bt                                          692     692                 192                 213    324.858        119            137      20.5688        68.9496
copenhagen_calls                                       536     420                 113                 130    118.654         38             30       6.04192       19.7404
copenhagen_fb_friends                                  800     799                  79                 112    537.375         60            282      12.8051        71.3707
