# Name                                                Size    Rank    OptimalThreshold    OptimalShrinkage        Erank    Elbow    EnergyRatio    StableRank    NuclearRank    Density
budapest_connectome_all_1m                            1015    1015                 191                 232    422.526         28             73       3.05753       21.1267     0.236599
budapest_connectome_all_200k                          1015    1015                 170                 214    493.68          36            140       3.59112       27.1193     0.204609
budapest_connectome_all_20k                           1015    1015                 139                 185    577.618         40            225       5.3083        40.0163     0.139144
budapest_connectome_female_1m                         1015    1015                 190                 231    430.839         31             83       3.10858       21.7944     0.219372
budapest_connectome_female_200k                       1015    1015                 168                 210    494.096         34            142       3.66264       27.6947     0.188216
budapest_connectome_female_20k                        1015    1015                 148                 193    574.548         46            225       5.58497       41.4353     0.123295
budapest_connectome_male_1m                           1015    1015                 215                 250    395.482         26             66       3.13697       20.6535     0.182097
budapest_connectome_male_200k                         1015    1015                 201                 240    461.418         29            119       3.63731       26.243      0.155984
budapest_connectome_male_20k                          1015    1015                 139                 186    566.636         45            215       5.7099        41.0446     0.105868
caida_as_20040105                                    16301    4679                 521                 671   3096.83         208           1169      16.8411       169.176      0.000248056
caida_as_20040202                                    16493    4669                 521                 665   3094.61         197           1180      16.9702       170.09       0.00024538
caida_as_20040301                                    16655    4771                 543                 676   3173.55         223           1216      17.1335       173.443      0.000240399
caida_as_20040405                                    16874    4829                 556                 690   3204.56         207           1220      16.9517       173.136      0.000241189
caida_as_20040503                                    17160    4904                 569                 721   3256.14         244           1240      17.3209       177          0.000237821
caida_as_20040607                                    17306    4924                 580                 717   3255.39         268           1230      17.396        177.071      0.000237391
caida_as_20040705                                    17509    4991                 584                 736   3303.19         250           1248      17.6816       179.947      0.000233758
caida_as_20040802                                    17655    5056                 592                 737   3348.71         257           1271      18.0571       183.412      0.000231454
caida_as_20040906                                    17848    5084                 594                 747   3352.29         256           1255      17.576        180.347      0.000233395
caida_as_20041004                                    18100    5213                 594                 752   3434.22         241           1282      17.7293       182.721      0.000228925
caida_as_20041101                                    18278    5190                 596                 761   3436.56         228           1302      17.7706       183.412      0.000224859
caida_as_20041206                                    18501    5234                 608                 772   3447.2          239           1287      18.0078       184.736      0.000223596
caida_as_20050103                                    18740    5312                 620                 787   3519.37         263           1329      18.397        189.213      0.000219273
caida_as_20050207                                    18911    5323                 619                 785   3539.07         242           1351      18.6023       191.162      0.000212473
caida_as_20050307                                    19090    5334                 623                 784   3547.08         272           1349      18.3755       189.967      0.000211641
caida_as_20050404                                    19267    5415                 638                 799   3589.61         224           1356      18.593        191.994      0.000209753
caida_as_20050502                                    19489    5516                 649                 818   3652.63         277           1376      18.458        192.775      0.000209894
caida_as_20050606                                    19720    5542                 632                 800   3668.46         278           1387      18.5332       193.587      0.000206749
caida_as_20050704                                    19846    5538                 638                 802   3663.33         262           1382      18.4328       192.728      0.000205589
caida_as_20070917                                     8020    2595                 255                 323   1605.85         129            494      11.4281        95.942      0.000566081
cattle                                                  28      25                   5                   6     14.2878         6              7       2.17374        4.77928    0.287037
celegans_2019_hermaphrodite_chemical                   453     300                  56                  69    173.135         47             69      10.6059        35.1171     0.0238284
celegans_2019_hermaphrodite_chemical_corrected         454     300                  56                  69    173.135         47             69      10.6059        35.1171     0.0237234
celegans_2019_hermaphrodite_chemical_synapse           468     271                  52                  61    158.699         33             71       9.83583       33.1382     0.0169339
celegans_2019_hermaphrodite_gap_junction               468     460                 100                 117    119.44          19              4       2.88833        9.68135    0.0132415
celegans_2019_hermaphrodite_gap_junction_corrected     469     460                  98                 116    106.63          19              4       2.67782        8.71039    0.0132123
celegans_2019_hermaphrodite_gap_junction_synapse       466     303                  51                  61    159.248         28             58       5.93861       23.8082     0.0189764
celegans_2019_male_chemical                            575     375                  83                  95    197.299         48             77       9.87812       35.707      0.0160764
celegans_2019_male_chemical_corrected                  575     375                  83                  95    197.299         48             77       9.87812       35.707      0.0160764
celegans_2019_male_chemical_synapse                    514     296                  68                  80    149.056         41             61       8.90755       30.0497     0.0133911
celegans_2019_male_gap_junction                        585     536                 120                 146    173.35          12             21       3.06596       13.7318     0.010274
celegans_2019_male_gap_junction_corrected              586     537                 122                 148    173.282         12             21       3.06602       13.73       0.0102564
celegans_2019_male_gap_junction_synapse                514     298                  69                  78    120.363         33             35       5.16177       18.9096     0.0179231
celegans_interactomes_BPmaps                           537     318                   9                  19    273.602         59            180      34.1964        89.9767     0.00384947
celegans_interactomes_Genetic                          759     619                  55                  78    459.153         79            253      21.0079        86.1382     0.00553777
celegans_interactomes_IntegratedNetwork               6176    5102                1038                1205   2415.52         108            547       2.72764       49.4138     0.00934273
celegans_interactomes_Interolog                       2724    2052                 243                 314   1263.96          67            439       5.72816       59.4328     0.0038617
celegans_interactomes_LCI                              431     244                  16                  20    199.039         20            124       8.18338       35.7755     0.0047267
celegans_interactomes_Microarray                      2436    2180                 482                 565   1021.32          52            256       2.1199        27.6979     0.0461692
celegans_interactomes_Phenotypes                       912     912                 197                 229    474.842         46            147       5.03064       35.7957     0.0547355
celegans_interactomes_WI8                             2528    1523                 113                 156   1184.86         146            675      40.567        193.066      0.00120972
