# name                                                nbVertices    rank    rankGD        erank    coude    energyRatio    stableRank
7th_graders                                                   29      29         2     18.7859         5             10       1.73418
adjnoun                                                      112     109        10     75.16          11             42       4.91538
advogato                                                    6541    5550       905   3180.3          303            993      15.6771
ambassador_1985_1989                                          16      11         1      8.35204        2              5       1.9251
ambassador_1990_1994                                          16      14         2     10.5732         4              6       2.08127
ambassador_1995_1999                                          16      15         3     10.1392         2              5       1.59999
ambassador_2000                                               16      15         1      9.92786        2              5       1.41759
ambassador_2001                                               16      15         1      9.92786        2              5       1.41759
ambassador_2002                                               16      14         1      8.98884        2              5       1.3851
ambassador_OPERATION_ID                                       16      15         1      9.92786        2              5       1.41759
ambassador_TIE_EXTINGUISH                                     16      15         1      9.92786        2              5       1.41759
ambassador_TIE_YEAR                                           16      15         1      9.92786        2              5       1.41759
anybeat                                                    12645    4152       583   2487.63         185            788       9.38345
arxiv_collab_astro-ph-1999                                 16706   15668      3643   7040.15        1121           2315      73.4141
arxiv_collab_cond-mat-1999                                 16726   15523      3370   7801.72        1538           2649     156.704
arxiv_collab_hep-th-1999                                    8361    7101      1507   3926.57         486           1539      44.6748
baseball_player-player                                        72      72         7     28.2523         5              2       1.14664
baseball_user-provider                                        84      24         2     19.2636         9             12       3.81612
bible_nouns                                                 1773    1757       351    636.009         60             68       2.68157
bison                                                         26      26         4     15.2558         6              7       1.78938
bitcoin_alpha                                               3783    1982       304   1278.2          153            538      13.4795
bitcoin_trust                                               5881    2785       411   1778.18         198            721      15.7998
blumenau_drug                                                 75      56        13     34.5698        18             17       5.92146
board_directors_net1m_2002-05-01                            1013    1012       144    733.65          85            374      10.0837
board_directors_net1m_2002-06-01                            1021    1020       144    738.531         85            372      10.2292
board_directors_net1m_2002-07-01                            1030    1030       144    745.719        128            378      10.3128
board_directors_net1m_2002-08-01                            1029    1029       144    746.632        129            381      10.272
board_directors_net1m_2002-09-01                            1035    1035       143    747.792         87            373      10.4977
board_directors_net1m_2002-10-01                            1051    1051       144    761.189        133            384      10.5676
board_directors_net1m_2002-11-01                            1052    1052       147    768.523        184            412      24.2196
board_directors_net1m_2002-12-01                            1076    1076       150    781.276        186            406      23.1102
board_directors_net1m_2003-01-01                            1098    1098       153    792.807        188            400      21.3357
board_directors_net1m_2003-02-01                            1090    1090       152    789.101        185            405      20.9755
board_directors_net1m_2003-03-01                            1084    1084       151    784.837        184            404      20.8098
board_directors_net1m_2003-04-01                            1088    1088       152    788.998        188            406      20.8591
board_directors_net1m_2003-05-01                            1095    1095       153    794.592        190            410      20.9465
board_directors_net1m_2003-06-01                            1097    1097       153    794.4          191            404      21.1734
board_directors_net1m_2003-07-01                            1109    1109       151    797.01         193            388      21.995
board_directors_net1m_2003-08-01                            1102    1102       150    796.172        191            396      21.5596
board_directors_net1m_2003-09-01                            1099    1099       151    799.331        191            410      21.0261
board_directors_net1m_2003-10-01                            1113    1113       151    809.583        190            415      21.2836
board_directors_net1m_2003-11-01                            1132    1132       152    818.306        191            410      22.0256
board_directors_net1m_2003-12-01                            1142    1142       156    826.546        191            418      22.0685
board_directors_net1m_2004-01-01                            1145    1145       157    829.383        192            419      22.0992
board_directors_net1m_2004-02-01                            1148    1148       157    830.509        193            419      22.1727
board_directors_net1m_2004-03-01                            1160    1160       159    839.7          197            425      22.3505
board_directors_net1m_2004-04-01                            1160    1160       160    842.204        199            432      24.7571
board_directors_net1m_2004-05-01                            1163    1163       160    845.541        198            436      24.7602
board_directors_net1m_2004-06-01                            1171    1171       161    851.088        196            437      22.3382
board_directors_net1m_2004-07-01                            1179    1179       163    856.651        198            437      22.4016
board_directors_net1m_2004-08-01                            1173    1173       163    853.695        199            433      22.3266
board_directors_net1m_2004-09-01                            1180    1180       166    859.417        203            441      22.2786
board_directors_net1m_2004-10-01                            1183    1183       165    862.987        207            444      22.2967
board_directors_net1m_2004-11-01                            1187    1187       165    865.663        184            442      22.4605
board_directors_net1m_2004-12-01                            1194    1194       164    866.48         145            434      22.8959
board_directors_net1m_2005-01-01                            1198    1198       167    870.086        145            434      23.0599
board_directors_net1m_2005-02-01                            1191    1191       167    871.172        145            448      22.4413
board_directors_net1m_2005-03-01                            1207    1207       169    884.263        214            460      22.5811
board_directors_net1m_2005-04-01                            1219    1219       170    894.198        217            468      22.6601
board_directors_net1m_2005-05-01                            1212    1212       170    896.907        215            491      21.9613
board_directors_net1m_2005-06-01                            1219    1219       171    904.324        215            499      21.9431
board_directors_net1m_2005-07-01                            1256    1256       177    927.177        221            506      22.863
board_directors_net1m_2005-08-01                            1259    1259       177    930.738        218            512      22.7697
board_directors_net1m_2005-09-01                            1266    1265       178    937.998        221            522      22.7025
board_directors_net1m_2005-10-01                            1298    1297       184    960.15         224            530      23.4519
board_directors_net1m_2005-11-01                            1312    1311       184    971.434        225            540      23.544
board_directors_net1m_2005-12-01                            1310    1310       184    972.405        227            544      23.3273
board_directors_net1m_2006-01-01                            1316    1316       186    977.337        228            547      23.364
